ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2018-10-01T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-02T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-03T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-04T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-05T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-06T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-07T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-08T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-09T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-10T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-11T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-12T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-13T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-14T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-15T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-16T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-17T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-18T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-19T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-20T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-21T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-22T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-23T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-24T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-25T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-26T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-27T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-28T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-29T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-30T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-10-31T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-11-01T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-11-02T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-11-03T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-11-04T00:00:00-07:00 Los_Angeles,"","","","","","","","","","",""
2018-11-05T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-06T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-07T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-08T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-09T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-10T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-11T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-12T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-13T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-14T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-15T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-16T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-17T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-18T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-19T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-20T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-21T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-22T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-23T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-24T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-25T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-26T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-27T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-28T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-29T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-11-30T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-01T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-02T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-03T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-04T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-05T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-06T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-07T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-08T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-09T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-10T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-11T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-12T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-13T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-14T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-15T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-16T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-17T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-18T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-19T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-20T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-21T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-22T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-23T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-24T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-25T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-26T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-27T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-28T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-29T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
2018-12-30T00:00:00-08:00 Los_Angeles,"","","","","","","","","","",""
