ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2020-08-14T00:00:00-07:00 Los_Angeles,0MW,1.5486030314091803MW,1.7376192462120066MW,0.17479608644721645MW,0.5435678380412798MW,0.1337209683180682MW,"","","","",""
2020-08-15T00:00:00-07:00 Los_Angeles,0MW,2.508822945644734MW,0.5478726979503765MW,0.08780228539719279MW,0.4738311515212021MW,0.12213782370685489MW,"","","","",""
2020-08-16T00:00:00-07:00 Los_Angeles,0MW,1.7374710886014835MW,2.190077566144366MW,0.04545005769129299MW,0.3857899714981939MW,0.11543469259049742MW,"","","","",""
2020-08-17T00:00:00-07:00 Los_Angeles,0MW,1.672531261736596MW,3.310283627975047MW,0.061626215219803264MW,0.3860184708588032MW,0.12225994518181937MW,"","","","",""
2020-08-18T00:00:00-07:00 Los_Angeles,0MW,1.9530405338605246MW,2.9048507589681285MW,0.06382954522844994MW,0.4432588014725522MW,0.1280680606055453MW,"","","","",""
2020-08-19T00:00:00-07:00 Los_Angeles,0MW,2.2472650878034814MW,2.0785914555433447MW,0.05928251185635721MW,0.48033421649259944MW,0.13337051633581587MW,"","","","",""
2020-08-20T00:00:00-07:00 Los_Angeles,0MW,2.70452435741546MW,0.294545136930214MW,0.05691595643732906MW,0.4968780838478389MW,0.13738289197691259MW,"","","","",""
2020-08-21T00:00:00-07:00 Los_Angeles,0MW,2.89118523221049MW,0MW,0.039697698172902966MW,0.5467739016915231MW,0.14221996174435375MW,"","","","",""
2020-08-22T00:00:00-07:00 Los_Angeles,0MW,3.312961871396336MW,0MW,0.05582043590099971MW,0.5282780165567724MW,0.12442011706479304MW,"","","","",""
2020-08-23T00:00:00-07:00 Los_Angeles,0MW,3.4434005216536696MW,0MW,0.17364011103886665MW,0.5283452936569556MW,0.12027618235373798MW,"","","","",""
2020-08-24T00:00:00-07:00 Los_Angeles,0MW,3.600756992465919MW,0MW,0.05607745492824404MW,0.5465547173861326MW,0.12440603139430836MW,"","","","",""
