ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-10-20T00:00:00Z Rel,"","",204.469870408376kW,195.51691818237305kW,483.419189453125kW,54.29050827026367kW,161.6041825612386kW,1819.3907470703125kW,19.604543765385948kW,249.5418723424276kW,"","","",112.32051968574527kW,156.84474182128906kW,"","",139.75600488980615kW,117.07789127031965kW,"",155.12163360913596kW,29.55634518464407kW,274.82268667221064kW,"",527.3963232040406kW,1427.14794921875kW,27.48956871032715kW,148.76106023788452kW,"",32.37994996706645kW,77.4654088815053kW,318.41861263910926kW,367.33879597981763kW,422.08358478546154kW,282.548583984375kW,60.821220000584916kW,201.74908447265625kW,84.713099360466kW,454.83915487925213kW,134.492471297582kW,"",590.1700693766276kW,289.5208091735839kW,680.6027371088663kW
2018-10-21T00:00:00Z Rel,"","",202.33726072311404kW,200.41580645243323kW,471.23944091796875kW,54.29050827026367kW,160.18363372484845kW,1985.1085205078125kW,18.843075215816494kW,243.64049577713016kW,"","","",112.19974191983543kW,157.7939910888672kW,"","",144.99195472399393kW,115.7441229820251kW,"",245.89419666926077kW,37.387086729208626kW,276.99160893758136kW,"",503.5710268020631kW,1348.8565673828125kW,27.48956871032715kW,154.15580336252845kW,"",34.70621043443679kW,74.3899145523707kW,305.00635496775294kW,366.7566531499228kW,436.920389811198kW,283.8843078613281kW,60.46654836336771kW,203.18276977539062kW,83.45261482397713kW,466.8127660751345kW,132.37498593330378kW,"",611.4414717356365kW,304.36930863062537kW,658.9073378245037kW
2018-10-22T00:00:00Z Rel,"","",208.0743446350098kW,276.75135628382367kW,719.9044189453125kW,54.29050827026367kW,197.8943552176158kW,2505.65478515625kW,25.910218576590204kW,244.04590360323581kW,"","","",142.3230974674225kW,157.3792724609375kW,"","",166.64368343353271kW,130.65842564900714kW,"",390.2116435368855kW,46.135311683019005kW,339.37743473052996kW,"",617.8064591089885kW,1589.0552978515625kW,27.48956871032715kW,154.05106457074487kW,"",52.1007088025411kW,87.86661275227866kW,407.263056119283kW,381.4318583806356kW,476.5655221939087kW,333.6285400390625kW,72.62662148475644kW,163.71035766601562kW,89.71655774116516kW,508.90135192871094kW,156.64843988418573kW,"",659.8386039733884kW,337.72902329762775kW,636.2531572977703kW
2018-10-23T00:00:00Z Rel,"","",211.64307085673016kW,270.3530025482177kW,665.1128540039062kW,54.29050827026367kW,206.29570118586216kW,2505.784912109375kW,25.414639075597123kW,261.57149632771814kW,"","","",144.54473670323688kW,156.78378295898438kW,"","",164.38126683235168kW,130.60054945945734kW,"",515.3559707005819kW,48.1271103223165kW,342.3128976821899kW,"",623.7092717488606kW,1584.8431396484375kW,27.48956871032715kW,162.7912731170655kW,"",48.440327008565276kW,80.9549663464228kW,409.5930105845133kW,385.2398195266724kW,471.738608678182kW,320.5721740722656kW,81.09234869480133kW,142.99485778808594kW,91.58877313137052kW,512.5390783945717kW,158.54393013318375kW,"",677.1931975682577kW,348.27430121103924kW,619.5862627029419kW
2018-10-24T00:00:00Z Rel,"","",208.8358171780903kW,278.1432951291403kW,691.4298095703125kW,54.29050827026367kW,214.56210549672443kW,2574.50439453125kW,24.396925628185276kW,269.5147563616435kW,"","","",145.0018129348755kW,156.8085479736328kW,"","",166.09495019912723kW,135.34523804982504kW,"",534.9238929748534kW,41.6815980474154kW,316.77525806427013kW,"",644.9669469197589kW,1555.109130859375kW,27.48956871032715kW,161.00336980819708kW,"",49.00710485378903kW,81.45991377035776kW,404.15095472335815kW,387.1460310618083kW,476.6955124537151kW,298.7719421386719kW,79.61213123798368kW,153.88677978515625kW,91.34905409812927kW,447.9935086568197kW,157.7125750382742kW,"",668.2841084798174kW,340.0945774714151kW,622.3630164464317kW
2018-10-25T00:00:00Z Rel,"","",211.824954032898kW,270.56838703155523kW,695.673828125kW,54.29050827026367kW,196.93154946962989kW,2500.947998046875kW,27.135942896207172kW,263.3588140805562kW,"","","",141.8344611326854kW,156.56362915039062kW,"","",166.63091580073038kW,134.3617033958435kW,"",571.1806678771975kW,41.96670019626618kW,323.4829502105714kW,"",648.9253514607748kW,1571.228515625kW,27.48956871032715kW,169.83484872182208kW,"",51.19668883085247kW,83.50192948182423kW,416.33947436014824kW,384.8475131988526kW,482.1647555033366kW,316.2333679199219kW,79.78464134534198kW,150.79176330566406kW,90.98147575060527kW,427.79946041107183kW,159.46232946713766kW,"",683.5574757258097kW,353.9586850802103kW,649.8336585362749kW
2018-10-26T00:00:00Z Rel,"","",208.41163619359338kW,263.5228131612141kW,803.0255737304688kW,54.29050827026367kW,201.23591788609826kW,2592.708984375kW,25.43129401405652kW,268.11102692286175kW,"","","",139.5007561842601kW,157.97439575195312kW,"","",165.60930665334064kW,134.2493614355723kW,"",568.4064445495605kW,41.03029080231986kW,316.03581285476685kW,"",644.0365823109944kW,1571.4873046875kW,27.48956871032715kW,155.02564994494116kW,"",47.52041776974994kW,88.19425360361738kW,426.35190788904805kW,384.2335424423218kW,464.325953801473kW,374.44097900390625kW,77.3156996568044kW,212.3678741455078kW,85.98471347490946kW,437.2605921427409kW,161.82095861434937kW,"",659.342503229777kW,336.51627413431817kW,690.3109102249149kW
2018-10-27T00:00:00Z Rel,"","",203.6597032546997kW,195.44754107793165kW,456.7191162109375kW,54.29050827026367kW,156.59859029452005kW,1861.921142578125kW,17.74678094188372kW,214.155820051829kW,"","","",108.98674480120339kW,156.2760009765625kW,"","",148.72916523615518kW,114.48835587501524kW,"",554.7211405436196kW,38.52618990341823kW,283.94936164220167kW,"",524.2711658477784kW,1384.805908203125kW,27.48956871032715kW,165.99420674641925kW,"",34.12024559577305kW,75.28186468283336kW,327.2498963673911kW,367.01763216654473kW,412.0468403498333kW,312.4198303222656kW,69.45714195569354kW,166.14447021484375kW,80.25508467356367kW,449.3989493052165kW,132.22552657127383kW,"",625.3743896484376kW,304.4116816520691kW,683.4094333648684kW
2018-10-28T00:00:00Z Rel,"","",202.04689057668045kW,194.01561514536544kW,473.8800048828125kW,54.29050827026367kW,156.31341425577799kW,1845.5726318359375kW,18.1916716992855kW,235.01335827509544kW,"","","",107.0289171536764kW,157.1518096923828kW,"","",151.15765651067102kW,111.92968336741129kW,"",556.9557882944744kW,39.356639007727324kW,287.63675181070965kW,"",519.5583957036336kW,1318.3687744140625kW,26.256306668122612kW,184.12587722142544kW,"",35.463997582594565kW,71.96270362536112kW,333.3368698755899kW,367.16285737355537kW,417.97100162506115kW,293.7539367675781kW,74.79636009534198kW,125.33602905273438kW,79.48073565959932kW,452.48375447591144kW,131.05241624514264kW,"",665.9391063054403kW,320.54437319437676kW,656.9179474512739kW
2018-10-29T00:00:00Z Rel,"","",208.4010674158732kW,272.1364590326945kW,674.471923828125kW,54.29050827026367kW,189.6584527492523kW,2500.821044921875kW,27.737822016080223kW,242.62840922673544kW,"","","",141.73839020729068kW,158.7189178466797kW,"","",169.20210552215573kW,126.97389364242557kW,"",560.9606520334879kW,42.50113954146703kW,352.53603108723945kW,"",600.8531675338744kW,1583.167236328125kW,44.7633846402168kW,196.7767386436463kW,"",51.476370294888795kW,80.30573312441511kW,414.22076384226466kW,377.4033244450887kW,450.4909693400067kW,322.5058898925781kW,90.60590060551955kW,157.49435424804688kW,93.03741979599002kW,485.9245217641194kW,157.77320877710974kW,"",739.0696887969973kW,392.41623878479015kW,610.6245940526326kW
2018-10-30T00:00:00Z Rel,"","",211.72685941060382kW,266.98738861083973kW,659.0216064453125kW,54.29050827026367kW,206.55448452631623kW,2507.509521484375kW,28.54379961887995kW,247.83632500966382kW,"","","",144.57904903093973kW,157.86676025390625kW,"","",167.47442722320554kW,129.99036375681564kW,"",576.9321473439534kW,43.21225295464197kW,344.0994408925374kW,"",620.4886325200398kW,1615.4696044921875kW,43.404296120007835kW,189.89773750305176kW,"",52.299463748931885kW,85.27431464195249kW,410.89556090037036kW,380.7245222727457kW,454.0430040359498kW,338.43109130859375kW,88.18514879544576kW,143.58343505859375kW,87.59276552995047kW,494.37232049306226kW,159.60096685091654kW,"",739.3171475728352kW,389.33394908905035kW,654.7944253285726kW
2018-10-31T00:00:00Z Rel,"","",212.46858342488608kW,268.44258880615246kW,664.99755859375kW,54.29050827026367kW,195.545535882314kW,2479.55517578125kW,29.122514824072518kW,259.33749691645306kW,"","","",143.82674018541974kW,158.1666717529297kW,"","",170.58197863896686kW,130.13030378023782kW,"",572.3315575917561kW,41.28275740146638kW,342.08264668782545kW,"",617.5543950398763kW,1655.30712890625kW,42.89184478918714kW,193.43269729614255kW,"",49.70423102378845kW,80.16544667879741kW,403.95072126388555kW,382.1723829905193kW,453.1623455683391kW,339.5504150390625kW,92.7763644854228kW,193.28155517578125kW,89.38007843494415kW,480.65786711374915kW,157.4890319506327kW,"",738.0008894602457kW,394.6613066991169kW,627.7893431981403kW
2018-11-01T00:00:00Z Rel,"","",213.47641722361243kW,277.4954002698263kW,712.1378173828125kW,54.29050827026367kW,200.99937089284256kW,2592.060546875kW,29.095332483450566kW,257.23860756556206kW,"","","",145.2710500558217kW,157.65504455566406kW,"","",163.3818438053131kW,132.4720191160838kW,"",584.789930343628kW,44.325567285219805kW,330.10145155588776kW,"",655.2079121271772kW,1536.8287353515625kW,42.60081686576208kW,179.74428606033334kW,"",51.50188648700714kW,83.01573570569356kW,415.274008433024kW,384.3976573944089kW,460.00553162892663kW,329.9995422363281kW,87.65052771568298kW,146.27752685546875kW,89.16068251927693kW,434.7798118591307kW,157.69467226664227kW,"",720.6332397460939kW,378.05193901062006kW,672.7081527709962kW
2018-11-02T00:00:00Z Rel,"","",208.25947411855057kW,271.6608476638794kW,676.282958984375kW,54.29050827026367kW,187.08131090799964kW,2515.5224609375kW,28.1535591284434kW,253.53679800033572kW,"","","",142.86688264211026kW,158.10208129882812kW,"","",159.9939914544424kW,130.53132438659668kW,"",577.1307423909506kW,40.419483880201966kW,319.38708178202296kW,"",645.6530869801836kW,1586.945556640625kW,42.96920986970267kW,166.23907550175983kW,"",48.908589661121376kW,87.80744433403012kW,405.23708693186416kW,384.8750890096029kW,447.40332508087164kW,341.0611877441406kW,79.44536884625751kW,199.80662536621094kW,88.20224467913313kW,434.6609436670939kW,153.76029658317572kW,"",679.7017593383785kW,365.39235591888433kW,686.3162784576415kW
2018-11-03T00:00:00Z Rel,"","",206.17726071675617kW,196.41427977879857kW,467.4861145019531kW,54.29050827026367kW,146.22545297940573kW,1845.1373291015625kW,22.490965962409977kW,238.80791759490958kW,"","","",112.24118828773494kW,158.5817413330078kW,"","",146.7603192329407kW,115.65903043746947kW,"",534.0955505371093kW,38.343055923779794kW,267.1820492744446kW,"",556.4012145996093kW,1380.3856201171875kW,29.361793617407482kW,181.74992068608609kW,"",35.68022181590398kW,75.60415569941203kW,341.922853151957kW,373.94428952535kW,418.7985366185506kW,320.99847412109375kW,70.2463124593099kW,200.3499298095703kW,79.79210313161217kW,421.32283465067553kW,123.98577197392777kW,"",650.8876991271973kW,329.7474665641785kW,711.4367809295653kW
2018-11-04T00:00:00Z Rel,"","",202.84706298828124kW,197.3188273620606kW,468.35992431640625kW,54.29050827026367kW,156.29962188720705kW,1954.734375kW,22.386798515319825kW,246.6900361633301kW,"","","",111.88228469848633kW,157.20321655273438kW,"","",145.37963867187509kW,113.24395469665527kW,"",550.3441418457029kW,38.18881380081177kW,266.1519395446777kW,"",495.91053344726566kW,1352.771728515625kW,29.221572093963616kW,185.30511901855473kW,"",36.66957740783692kW,74.34574043273926kW,309.99735214233414kW,368.47936767578125kW,412.15988861084kW,312.2187805175781kW,69.98357883453369kW,166.13198852539062kW,77.04186748504642kW,424.21639892578116kW,122.73708816528315kW,"",649.6061315917968kW,326.44381469726574kW,668.9916510009765kW
